Job ID,Job Title,Country,Job Description,Skills Required,Experience Required,Age Required,Salary,Working Hours,Facilities,Looking gender,No. of job seekers required,Available Quantity
1,AC technicians (Auto/Domestic),Saudi Arabia,"This is a job for a AC technicians (Auto/Domestic) in Saudi Arabia. As a AC technicians (Auto/Domestic), you will be responsible for hvac systems, ensuring efficiency and quality in your role. Your key duties will include electrical troubleshooting, refrigeration, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong HVAC systems, Electrical troubleshooting, Refrigeration skills and the ability to work in a fast-paced, professional setting. Prior experience in ac technicians (auto/domestic) is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Saudi Arabia, this role is for you.","HVAC Systems, Electrical Troubleshooting, Cooling System Maintenance, Refrigeration, Safety Compliance",Experienced,35-49,"Rs. 164,468.00",12 hours,"Accommodation, Food, Transport","male, female",104,69
2,AC technicians (Auto/Domestic),Lebanon,"This is a job for a AC technicians (Auto/Domestic) in Lebanon. As a AC technicians (Auto/Domestic), you will be responsible for hvac systems, ensuring efficiency and quality in your role. Your key duties will include electrical troubleshooting, refrigeration, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong HVAC systems, Electrical troubleshooting, Refrigeration skills and the ability to work in a fast-paced, professional setting. Prior experience in ac technicians (auto/domestic) is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Lebanon, this role is for you.","HVAC Systems, Electrical Troubleshooting, Cooling System Maintenance, Refrigeration, Safety Compliance","1st time, Experienced",38-50,"Rs. 277,858.00",12 hours,"Accommodation, Medical, Meal Allowance","male, female",199,82
3,Agriculture Workers,Romania,"This is a job for a Agriculture Workers in Romania. As a Agriculture Workers, you will be responsible for crop cultivation, ensuring efficiency and quality in your role. Your key duties will include irrigation techniques, pest control, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Crop cultivation, Irrigation techniques, Pest control skills and the ability to work in a fast-paced, professional setting. Prior experience in agriculture workers is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Romania, this role is for you.","Crop Cultivation, Irrigation Techniques, Pest Control, Soil Management, Organic Farming","1st time, Experienced",32-50,"Rs. 177,533.00",11 hours,"Accommodation, Food, Medical","male, female",26,8
4,Agriculture Workers,Kuwait,"This is a job for a Agriculture Workers in Kuwait. As a Agriculture Workers, you will be responsible for crop cultivation, ensuring efficiency and quality in your role. Your key duties will include irrigation techniques, pest control, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Crop cultivation, Irrigation techniques, Pest control skills and the ability to work in a fast-paced, professional setting. Prior experience in agriculture workers is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Kuwait, this role is for you.","Crop Cultivation, Irrigation Techniques, Pest Control, Soil Management, Organic Farming",1st time,26-55,"Rs. 229,984.00",10 hours,"Accommodation, Food, Transport","male, female",135,109
5,Aluminum Fabricator,Malaysia,"This is a job for a Aluminum Fabricator in Malaysia. As a Aluminum Fabricator, you will be responsible for metal cutting, ensuring efficiency and quality in your role. Your key duties will include welding, blueprint reading, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Metal cutting, Welding, Blueprint reading skills and the ability to work in a fast-paced, professional setting. Prior experience in aluminum fabricator is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Malaysia, this role is for you.","Metal Cutting, Blueprint Reading, Welding, Structural Assembly, Grinding and Finishing","1st time, Experienced",27-56,"Rs. 154,430.00",11 hours,"Accommodation, Food, Transport","male, female",129,18
6,Aluminum Fabricator,Romania,"This is a job for a Aluminum Fabricator in Romania. As a Aluminum Fabricator, you will be responsible for metal cutting, ensuring efficiency and quality in your role. Your key duties will include welding, blueprint reading, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Metal cutting, Welding, Blueprint reading skills and the ability to work in a fast-paced, professional setting. Prior experience in aluminum fabricator is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Romania, this role is for you.","Metal Cutting, Blueprint Reading, Welding, Structural Assembly, Grinding and Finishing",1st time,37-60,"Rs. 276,849.00",12 hours,"Accommodation, Medical, Transport, Meal Allowance","male, female",171,170
7,Auto Denter,Saudi Arabia,"This is a job for a Auto Denter in Saudi Arabia. As a Auto Denter, you will be responsible for panel beating, ensuring efficiency and quality in your role. Your key duties will include paint preparation, metal straightening, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Panel beating, Paint preparation, Metal straightening skills and the ability to work in a fast-paced, professional setting. Prior experience in auto denter is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Saudi Arabia, this role is for you.","Panel Beating, Bodywork Restoration, Metal Shaping, Paint Preparation, Dent Repair",Experienced,28-57,"Rs. 182,282.00",12 hours,"Accommodation, Medical","male, female",136,113
8,Auto Denter,Romania,"This is a job for a Auto Denter in Romania. As a Auto Denter, you will be responsible for panel beating, ensuring efficiency and quality in your role. Your key duties will include paint preparation, metal straightening, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Panel beating, Paint preparation, Metal straightening skills and the ability to work in a fast-paced, professional setting. Prior experience in auto denter is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Romania, this role is for you.","Panel Beating, Bodywork Restoration, Metal Shaping, Paint Preparation, Dent Repair",Experienced,35-55,"Rs. 291,118.00",9 hours,"Accommodation, Food, Medical","male, female",97,68
9,Auto Mechanics (Vehicle/Machinery),Qatar,"This is a job for a Auto Mechanics (Vehicle/Machinery) in Qatar. As a Auto Mechanics (Vehicle/Machinery), you will be responsible for engine diagnostics, ensuring efficiency and quality in your role. Your key duties will include brake repair, transmission maintenance, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Engine diagnostics, Brake repair, Transmission maintenance skills and the ability to work in a fast-paced, professional setting. Prior experience in auto mechanics (vehicle/machinery) is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Qatar, this role is for you.","Engine Diagnostics, Brake Repair, Transmission Maintenance, Vehicle Inspection, Suspension Repair","1st time, Experienced",35-56,"Rs. 242,883.00",8 hours,"Accommodation, Medical, Meal Allowance","male, female",63,57
10,Auto Mechanics (Vehicle/Machinery),Dubai,"This is a job for a Auto Mechanics (Vehicle/Machinery) in Dubai. As a Auto Mechanics (Vehicle/Machinery), you will be responsible for engine diagnostics, ensuring efficiency and quality in your role. Your key duties will include brake repair, transmission maintenance, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Engine diagnostics, Brake repair, Transmission maintenance skills and the ability to work in a fast-paced, professional setting. Prior experience in auto mechanics (vehicle/machinery) is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Dubai, this role is for you.","Engine Diagnostics, Brake Repair, Transmission Maintenance, Vehicle Inspection, Suspension Repair","1st time, Experienced",25-52,"Rs. 237,946.00",12 hours,"Accommodation, Medical","male, female",169,128
11,Auto Painter,Malaysia,"This is a job for a Auto Painter in Malaysia. As a Auto Painter, you will be responsible for paint mixing, ensuring efficiency and quality in your role. Your key duties will include surface preparation, spray painting, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Paint mixing, Surface preparation, Spray painting skills and the ability to work in a fast-paced, professional setting. Prior experience in auto painter is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Malaysia, this role is for you.","Paint Mixing, Surface Preparation, Spray Painting, Polishing, Rust Prevention",1st time,28-59,"Rs. 261,397.00",11 hours,"Accommodation, Food, Medical","male, female",129,19
12,Auto Painter,Kuwait,"This is a job for a Auto Painter in Kuwait. As a Auto Painter, you will be responsible for paint mixing, ensuring efficiency and quality in your role. Your key duties will include surface preparation, spray painting, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Paint mixing, Surface preparation, Spray painting skills and the ability to work in a fast-paced, professional setting. Prior experience in auto painter is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Kuwait, this role is for you.","Paint Mixing, Surface Preparation, Spray Painting, Polishing, Rust Prevention",Experienced,30-47,"Rs. 291,351.00",8 hours,"Accommodation, Medical","male, female",71,32
13,Auto Technician Level 2,Qatar,"This is a job for a Auto Technician Level 2 in Qatar. As a Auto Technician Level 2, you will be responsible for vehicle diagnostics, ensuring efficiency and quality in your role. Your key duties will include electronic systems, fuel injection, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Vehicle diagnostics, Electronic systems, Fuel injection skills and the ability to work in a fast-paced, professional setting. Prior experience in auto technician level 2 is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Qatar, this role is for you.","Vehicle Diagnostics, Fuel Injection Systems, Brake System Repair, Transmission Troubleshooting, Battery Maintenance",Experienced,28-57,"Rs. 180,571.00",9 hours,"Accommodation, Medical, Transport, Meal Allowance",male,163,131
14,Auto Technician Level 2,Saudi Arabia,"This is a job for a Auto Technician Level 2 in Saudi Arabia. As a Auto Technician Level 2, you will be responsible for vehicle diagnostics, ensuring efficiency and quality in your role. Your key duties will include electronic systems, fuel injection, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Vehicle diagnostics, Electronic systems, Fuel injection skills and the ability to work in a fast-paced, professional setting. Prior experience in auto technician level 2 is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Saudi Arabia, this role is for you.","Vehicle Diagnostics, Fuel Injection Systems, Brake System Repair, Transmission Troubleshooting, Battery Maintenance",Experienced,27-48,"Rs. 179,891.00",11 hours,"Accommodation, Food, Medical",male,172,1
15,Auto Technician Level 3,Bahrain,"This is a job for a Auto Technician Level 3 in Bahrain. As a Auto Technician Level 3, you will be responsible for advanced diagnostics, ensuring efficiency and quality in your role. Your key duties will include transmission repair, suspension systems, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Advanced diagnostics, Transmission repair, Suspension systems skills and the ability to work in a fast-paced, professional setting. Prior experience in auto technician level 3 is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Bahrain, this role is for you.","Advanced Mechanics, Electrical Systems, Hybrid Vehicle Maintenance, Powertrain Systems, Performance Tuning",Experienced,29-55,"Rs. 209,277.00",11 hours,"Accommodation, Medical, Meal Allowance",male,52,34
16,Auto Technician Level 3,Dubai,"This is a job for a Auto Technician Level 3 in Dubai. As a Auto Technician Level 3, you will be responsible for advanced diagnostics, ensuring efficiency and quality in your role. Your key duties will include transmission repair, suspension systems, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Advanced diagnostics, Transmission repair, Suspension systems skills and the ability to work in a fast-paced, professional setting. Prior experience in auto technician level 3 is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Dubai, this role is for you.","Advanced Mechanics, Electrical Systems, Hybrid Vehicle Maintenance, Powertrain Systems, Performance Tuning",Experienced,23-45,"Rs. 243,690.00",11 hours,"Accommodation, Medical, Meal Allowance",male,26,14
